epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16582306823635848,0.986039603960396,0.013267870459757893,0.013986013986013986,0.023255813953488372,0.01,0.004257425742574258,0.013267870459757893,0.9900990099009901,1.011491894721985,0.038356164383561646,-2.3060731887817383,0.026415094339622643,0.07,0.026237623762376237
2,0.06395249540856274,0.9895049504950495,0.01803688676770511,0.0,0.0,0.0,0.000594059405940594,0.01803688676770511,0.9900990099009901,0.5974700450897218,0.06185567010309278,-1.5670534372329712,0.06382978723404255,0.06,0.009306930693069307
3,0.053610184579525134,0.9900990099009901,0.10620867960725767,0.0,0.0,0.0,0.0,0.10620867960725769,0.9901980198019802,-0.2996516227722168,0.17500000000000002,-1.8734219074249268,0.23333333333333334,0.14,0.005940594059405941
4,0.04027390419625189,0.9900990099009901,0.4055732541400353,0.0,0.0,0.0,0.0,0.4055732541400353,0.9915841584158416,-0.9413386583328247,0.4318181818181818,-1.4921146631240845,0.5,0.38,0.0075247524752475245
5,0.028453760337188123,0.9902970297029703,0.5877973944876597,0.0392156862745098,1.0,0.02,0.00019801980198019803,0.5877973944876597,0.9931683168316832,-1.2720047235488892,0.6043956043956045,-1.4690243005752563,0.6707317073170732,0.55,0.008118811881188119
6,0.020785572063600707,0.9906930693069307,0.7010378339426168,0.11320754716981131,1.0,0.06,0.000594059405940594,0.7010378339426167,0.9941584158415842,-1.3119057416915894,0.6764705882352942,-1.744708776473999,0.6634615384615384,0.69,0.010297029702970298
7,0.015978962635383436,0.9921782178217822,0.7523552379206572,0.368,0.92,0.23,0.0024752475247524753,0.7523552379206572,0.9952475247524752,-1.5137929916381836,0.76,-1.5137929916381836,0.76,0.76,0.009900990099009901
8,0.012632709835167216,0.9924752475247525,0.7583333454722584,0.40625,0.9285714285714286,0.26,0.002772277227722772,0.7583333454722584,0.995049504950495,-0.721684455871582,0.7307692307692308,-1.6927006244659424,0.7037037037037037,0.76,0.010693069306930694
9,0.010025151001321612,0.9933663366336634,0.7882272302754034,0.524822695035461,0.9024390243902439,0.37,0.0040594059405940595,0.7882272302754034,0.9961386138613861,-0.8721723556518555,0.7868852459016394,-0.9355883598327637,0.8674698795180723,0.72,0.008217821782178218
10,0.00795866895669223,0.9934653465346535,0.7747416725330283,0.5217391304347826,0.9473684210526315,0.36,0.0037623762376237622,0.7747416725330283,0.9955445544554455,-0.5991880893707275,0.7459459459459459,-1.2671189308166504,0.8117647058823529,0.69,0.008415841584158416
