epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.2598725400146507,0.9899009900990099,0.015337127307119605,0.019230769230769232,0.25,0.01,0.00039603960396039607,0.015337127307119603,0.9900990099009901,0.036654353141784675,0.044444444444444446,-0.6970415711402893,0.04,0.05,0.012376237623762377
2,0.08340429436495421,0.9900990099009901,0.04730795109445257,0.0,0.0,0.0,0.0,0.04730795109445257,0.9901980198019802,-1.1247692704200745,0.11392405063291139,-1.7485289573669434,0.15517241379310345,0.09,0.0057425742574257425
3,0.05569228855319339,0.9900990099009901,0.20636980821262493,0.0,0.0,0.0,0.0,0.206369808212625,0.9902970297029703,-2.170996308326721,0.34782608695652173,-2.566711902618408,0.45901639344262296,0.28,0.00603960396039604
4,0.04529494788305587,0.9900990099009901,0.4968948908493377,0.0,0.0,0.0,0.0,0.49689489084933763,0.9924752475247525,-2.243804097175598,0.5396825396825395,-2.479839324951172,0.5730337078651685,0.51,0.008811881188118811
5,0.03918900100720161,0.9900990099009901,0.5832668586357129,0.0,0.0,0.0,0.0,0.5832668586357129,0.9928712871287129,-2.052461862564087,0.59375,-2.201251268386841,0.6195652173913043,0.57,0.009108910891089108
6,0.03541088170155264,0.9900990099009901,0.6376202711260045,0.0,0.0,0.0,0.0,0.6376202711260045,0.9936633663366337,-1.7711256742477417,0.625,-2.0256162881851196,0.6018518518518519,0.65,0.010693069306930694
7,0.03225627458604844,0.9900990099009901,0.6655935053357479,0.0,0.0,0.0,0.0,0.665593505335748,0.9936633663366337,-1.5179363489151,0.6371681415929202,-1.8804408311843872,0.5714285714285714,0.72,0.012475247524752476
8,0.029559480231166783,0.9900990099009901,0.7289361888642781,0.0,0.0,0.0,0.0,0.728936188864278,0.9945544554455445,-1.2480053901672363,0.683937823834197,-1.5133452415466309,0.7096774193548387,0.66,0.009207920792079207
9,0.026910554882354012,0.9900990099009901,0.7047274485885685,0.0,0.0,0.0,0.0,0.7047274485885685,0.993960396039604,-1.1297106742858887,0.684931506849315,-1.3250749111175537,0.6302521008403361,0.75,0.011782178217821782
10,0.02501102525074414,0.9901980198019802,0.728951884415568,0.019801980198019802,1.0,0.01,9.900990099009902e-05,0.728951884415568,0.9947524752475247,-0.8751177787780762,0.6951871657754011,-1.153275966644287,0.7471264367816092,0.65,0.008613861386138615
