epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.1643823237630084,0.9881188118811881,0.01369018981020882,0.016393442622950817,0.045454545454545456,0.01,0.0021782178217821784,0.01369018981020882,0.9900990099009901,0.9711718559265138,0.032520325203252036,-0.04422086477279663,0.08695652173913043,0.02,0.002277227722772277
2,0.06410985324723238,0.9898019801980198,0.0264843587946381,0.0,0.0,0.0,0.000297029702970297,0.026484358794638105,0.9900990099009901,0.5035896301269532,0.07317073170731707,-1.8585445284843445,0.09375,0.06,0.006336633663366337
3,0.05284986083272193,0.9900990099009901,0.130498727352435,0.0,0.0,0.0,0.0,0.130498727352435,0.9902970297029703,-0.6327301263809204,0.23,-1.9886457920074463,0.23,0.23,0.009900990099009901
4,0.039236435228391604,0.9900990099009901,0.4543086846592456,0.0,0.0,0.0,0.0,0.45430868465924557,0.9918811881188119,-1.258547067642212,0.4723618090452262,-1.6854115724563599,0.47474747474747475,0.47,0.009801980198019802
5,0.027626919770591677,0.9903960396039604,0.6487927224808859,0.058252427184466014,1.0,0.03,0.000297029702970297,0.6487927224808859,0.9934653465346535,-0.991252064704895,0.6010928961748634,-1.507127285003662,0.6626506024096386,0.55,0.008217821782178218
6,0.020359948508091343,0.9911881188118812,0.7257282237665936,0.19819819819819817,1.0,0.11,0.0010891089108910892,0.7257282237665937,0.9944554455445545,-0.9361896514892578,0.6943005181347149,-1.4054591655731201,0.7204301075268817,0.67,0.009207920792079207
7,0.015746790378848508,0.9916831683168317,0.7494587603826515,0.288135593220339,0.9444444444444444,0.17,0.0017821782178217822,0.7494587603826515,0.9953465346534653,-1.0953218936920166,0.7422680412371133,-1.4043116569519043,0.7659574468085106,0.72,0.009306930693069307
8,0.012399644729088296,0.9934653465346535,0.7793707156523686,0.5285714285714286,0.925,0.37,0.0039603960396039604,0.7793707156523686,0.9953465346534653,-1.170835018157959,0.7513227513227513,-1.1761667728424072,0.797752808988764,0.71,0.008811881188118811
9,0.009930252187122518,0.9927722772277228,0.7752646416395303,0.4511278195488722,0.9090909090909091,0.3,0.003267326732673267,0.7752646416395303,0.9951485148514851,-1.4474444389343262,0.7411167512690355,-1.5386006832122803,0.7525773195876289,0.73,0.009603960396039604
10,0.008029019720039395,0.9944554455445545,0.8136266507011327,0.6266666666666667,0.94,0.47,0.0049504950495049506,0.8136266507011327,0.9956435643564356,-1.195582628250122,0.7843137254901961,-1.487640142440796,0.7692307692307693,0.8,0.010297029702970298
