epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16996649120544535,0.9872277227722772,0.011618441163240595,0.0,0.0,0.0,0.0028712871287128712,0.011618441163240595,0.9900990099009901,0.7696809768676759,0.026030368763557483,-2.29013454914093,0.01662049861495845,0.06,0.03574257425742574
2,0.06477766127031544,0.9898019801980198,0.02038660918981903,0.0,0.0,0.0,0.000297029702970297,0.020386609189819025,0.9900990099009901,0.3541018962860108,0.07346938775510205,-2.174105405807495,0.06206896551724138,0.09,0.014356435643564357
3,0.05287967159864203,0.9900990099009901,0.07831975056842691,0.0,0.0,0.0,0.0,0.07831975056842691,0.9901980198019802,-0.8233880996704102,0.1651376146788991,-1.9238824248313904,0.15254237288135594,0.18,0.011683168316831683
4,0.039220248166581866,0.9900990099009901,0.44358539146476206,0.0,0.0,0.0,0.0,0.44358539146476206,0.9920792079207921,-1.224189043045044,0.4750000000000001,-1.6003164052963257,0.6333333333333333,0.38,0.005940594059405941
5,0.027795596008406365,0.9900990099009901,0.671271757447958,0.0,0.0,0.0,0.0,0.671271757447958,0.993960396039604,-1.144523024559021,0.6517857142857142,-1.8795855045318604,0.5887096774193549,0.73,0.012277227722772278
6,0.020971486347883844,0.9907920792079208,0.736949240639821,0.13084112149532712,1.0,0.07,0.000693069306930693,0.736949240639821,0.9945544554455445,-0.9560375213623047,0.6877828054298643,-1.7568600177764893,0.628099173553719,0.76,0.01198019801980198
7,0.016320655153869577,0.9916831683168317,0.7669836688870643,0.2758620689655173,1.0,0.16,0.0015841584158415843,0.7669836688870642,0.9945544554455445,-1.1481270790100098,0.7136150234741785,-1.7227572202682495,0.672566371681416,0.76,0.011188118811881188
8,0.013030760714850483,0.9927722772277228,0.8025287660080261,0.434108527131783,0.9655172413793104,0.28,0.0028712871287128712,0.8025287660080261,0.9957425742574257,-1.010340929031372,0.7659574468085107,-1.1506192684173584,0.8181818181818182,0.72,0.008712871287128714
9,0.010368801494230952,0.9931683168316832,0.7841024224959277,0.48120300751879697,0.9696969696969697,0.32,0.003267326732673267,0.7841024224959277,0.994950495049505,-0.9833626747131348,0.7439613526570048,-1.5460100173950195,0.719626168224299,0.77,0.010594059405940595
10,0.008338054450432383,0.994059405940594,0.8023193693979755,0.5945945945945945,0.9166666666666666,0.44,0.004752475247524752,0.8023193693979755,0.9957425742574257,-1.056765079498291,0.7794871794871796,-1.1328084468841553,0.8,0.76,0.009405940594059406
