epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16606414740638326,0.9871287128712871,0.014292858967626946,0.015151515151515152,0.03125,0.01,0.0031683168316831685,0.014292877259330844,0.9900990099009901,0.9644616842269899,0.03674540682414698,-2.300661325454712,0.02491103202846975,0.07,0.027821782178217822
2,0.06366209400865613,0.9898019801980198,0.020560801980904066,0.019047619047619046,0.2,0.01,0.0004950495049504951,0.020560801980904066,0.9900990099009901,0.553372621536255,0.05028571428571429,-3.316771984100342,0.02838709677419355,0.22,0.07673267326732673
3,0.05348875309055129,0.9900990099009901,0.10050111624048086,0.0,0.0,0.0,0.0,0.10050111624048086,0.9901980198019802,-0.4941885471343994,0.2011173184357542,-1.8821309804916382,0.22784810126582278,0.18,0.007821782178217822
4,0.039605780020297174,0.9900990099009901,0.3213159969888672,0.0,0.0,0.0,0.0,0.3213159969888672,0.9907920792079208,-1.0041712522506714,0.4117647058823529,-2.0581594705581665,0.40384615384615385,0.42,0.010297029702970298
5,0.028197642032710055,0.9903960396039604,0.6305337672265487,0.058252427184466014,1.0,0.03,0.000297029702970297,0.6305337672265485,0.9933663366336634,-1.2265725135803223,0.6187845303867403,-1.5147981643676758,0.691358024691358,0.56,0.00801980198019802
6,0.020680373660523138,0.990990099009901,0.7083836267740198,0.16513761467889906,1.0,0.09,0.0008910891089108911,0.7083836267740197,0.9941584158415842,-1.4967949390411377,0.7064676616915423,-1.5678935050964355,0.7029702970297029,0.71,0.01
7,0.015959902115288135,0.9925742574257426,0.7802393985193136,0.4186046511627907,0.9310344827586207,0.27,0.0028712871287128712,0.7802393985193135,0.995049504950495,-1.2030401229858398,0.7378640776699028,-1.4500818252563477,0.7169811320754716,0.76,0.010495049504950496
8,0.01253969534264208,0.992970297029703,0.7679801925489376,0.4661654135338345,0.9393939393939394,0.31,0.003267326732673267,0.7679801925489376,0.9951485148514851,-1.2134230136871338,0.7512690355329948,-1.3890795707702637,0.7628865979381443,0.74,0.009603960396039604
9,0.010103590749250053,0.994059405940594,0.7672928452506813,0.5890410958904109,0.9347826086956522,0.43,0.004554455445544554,0.7672928452506812,0.995049504950495,-1.0002684593200684,0.7475728155339806,-1.4666235446929932,0.7264150943396226,0.77,0.010495049504950496
10,0.008098347666379967,0.9935643564356436,0.7757219535268336,0.5323741007194245,0.9487179487179487,0.37,0.0038613861386138613,0.7757219535268336,0.9953465346534653,-1.0057971477508545,0.7564766839378239,-1.6299917697906494,0.7849462365591398,0.73,0.009207920792079207
