epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.21475250663780612,0.9876237623762376,0.014952902936731724,0.0310077519379845,0.06896551724137931,0.02,0.0028712871287128712,0.014952902936731724,0.9900990099009901,0.6510423421859742,0.04285714285714286,-0.09043008089065552,0.075,0.03,0.0039603960396039604
2,0.07350873305576708,0.9900990099009901,0.026493614132526724,0.0,0.0,0.0,0.0,0.026493614132526724,0.9900990099009901,-0.1568050384521484,0.05357142857142856,-0.870340883731842,0.25,0.03,0.001188118811881188
3,0.05661201959889577,0.9900990099009901,0.10073297989079592,0.0,0.0,0.0,0.0,0.10073297989079594,0.9901980198019802,-1.2046170234680176,0.1761006289308176,-2.159444570541382,0.23728813559322035,0.14,0.005841584158415842
4,0.0446110263583865,0.9900990099009901,0.404756272108749,0.0,0.0,0.0,0.0,0.404756272108749,0.9920792079207921,-2.0502846240997314,0.44537815126050423,-2.667569637298584,0.38405797101449274,0.53,0.013663366336633663
5,0.03568363524347266,0.9900990099009901,0.6514426050348823,0.0,0.0,0.0,0.0,0.6514426050348822,0.9938613861386139,-1.7791574001312256,0.6263736263736263,-2.001600503921509,0.6951219512195121,0.57,0.008118811881188119
6,0.029489779391020158,0.9900990099009901,0.717328234902547,0.0,0.0,0.0,0.0,0.717328234902547,0.9944554455445545,-1.7256032228469849,0.6903553299492386,-1.9704210758209229,0.7010309278350515,0.68,0.009603960396039604
7,0.024553938703486922,0.9900990099009901,0.7542894824305209,0.0,0.0,0.0,0.0,0.7542894824305209,0.994950495049505,-1.6576863527297974,0.7373737373737373,-1.8215663433074951,0.7448979591836735,0.73,0.009702970297029703
8,0.02072294460480396,0.9902970297029703,0.7659036334304723,0.0392156862745098,1.0,0.02,0.00019801980198019803,0.7659036334304723,0.9953465346534653,-1.1102228164672852,0.7539267015706805,-1.3413705825805664,0.7912087912087912,0.72,0.00900990099009901
9,0.017541084863164844,0.9916831683168317,0.7797767449828524,0.2758620689655173,1.0,0.16,0.0015841584158415843,0.7797767449828524,0.9955445544554455,-0.9343624114990234,0.7547169811320756,-1.3504514694213867,0.7142857142857143,0.8,0.011089108910891089
10,0.014902250128671978,0.9926732673267327,0.7909376439286055,0.4307692307692308,0.9333333333333333,0.28,0.0029702970297029703,0.7909376439286055,0.9957425742574257,-1.167022466659546,0.77720207253886,-1.178926944732666,0.8064516129032258,0.75,0.009207920792079207
