epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16267575384293043,0.988019801980198,0.015860349997918403,0.047244094488188976,0.1111111111111111,0.03,0.0026732673267326735,0.01586036332941599,0.9900990099009901,0.9898413419723512,0.04958677685950413,0.2919149398803711,0.14285714285714285,0.03,0.0020792079207920793
2,0.06332352238030962,0.9897029702970297,0.023404966192520478,0.0,0.0,0.0,0.00039603960396039607,0.023404966192520478,0.9900990099009901,0.688154697418213,0.07361963190184048,-1.7923678159713745,0.09523809523809523,0.06,0.006237623762376238
3,0.05371923357332227,0.9900990099009901,0.08876696491543583,0.0,0.0,0.0,0.0,0.08876696491543583,0.9901980198019802,-0.3239583969116211,0.18009478672985785,-2.0393807888031006,0.17117117117117117,0.19,0.01099009900990099
4,0.04083953221846177,0.9900990099009901,0.3642731768843692,0.0,0.0,0.0,0.0,0.3642731768843693,0.9908910891089109,-1.3043196201324463,0.42798353909465026,-1.8986452221870422,0.36363636363636365,0.52,0.014158415841584159
5,0.028867925917195395,0.9901980198019802,0.6182645997792109,0.019801980198019802,1.0,0.01,9.900990099009902e-05,0.6182645997792111,0.9932673267326733,-1.0609779357910156,0.6083333333333334,-1.7862706184387207,0.5214285714285715,0.73,0.013861386138613862
6,0.021140262259915207,0.9906930693069307,0.7195049175236843,0.11320754716981131,1.0,0.06,0.000594059405940594,0.7195049175236843,0.9942574257425743,-1.1154320240020752,0.683937823834197,-1.5013587474822998,0.7096774193548387,0.66,0.009207920792079207
7,0.016149534828372794,0.9916831683168317,0.7471535304800285,0.288135593220339,0.9444444444444444,0.17,0.0017821782178217822,0.7471535304800284,0.994950495049505,-0.9594612121582031,0.7236180904522613,-1.4956884384155273,0.7272727272727273,0.72,0.009801980198019802
8,0.012670786748500917,0.9924752475247525,0.762565624404997,0.40625,0.9285714285714286,0.26,0.002772277227722772,0.7625656244049969,0.9955445544554455,-0.8299283981323242,0.75,-1.0559399127960205,0.8214285714285714,0.69,0.008316831683168317
9,0.010006504799177052,0.9931683168316832,0.7843727292865225,0.4963503649635037,0.918918918918919,0.34,0.003663366336633663,0.7843727292865225,0.9954455445544554,-1.08644700050354,0.7444444444444446,-1.1243846416473389,0.8375,0.67,0.007920792079207921
10,0.008053968784447519,0.993960396039604,0.7904406817000701,0.5793103448275863,0.9333333333333333,0.42,0.004455445544554455,0.7904406817000703,0.9954455445544554,-0.9430103302001953,0.7472527472527474,-0.9817235469818115,0.8292682926829268,0.68,0.008118811881188119
