epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.19930184235293463,0.982970297029703,0.013134193350404139,0.011494252873563216,0.013513513513513514,0.01,0.007326732673267326,0.013134193350404139,0.9900990099009901,0.5954942703247071,0.027522935779816515,-0.43276655673980713,0.025423728813559324,0.03,0.011683168316831683
2,0.06887277881970544,0.9898019801980198,0.017008379200614793,0.0,0.0,0.0,0.000297029702970297,0.017008379200614793,0.9900990099009901,0.07238674163818361,0.03846153846153846,-1.5768781304359436,0.037037037037037035,0.04,0.010693069306930694
3,0.05882403100829274,0.9900990099009901,0.13183208011134112,0.0,0.0,0.0,0.0,0.13183208011134112,0.9903960396039604,-1.4616764783859253,0.21256038647342995,-2.2355973720550537,0.205607476635514,0.22,0.010594059405940595
4,0.04576872154661847,0.9900990099009901,0.42094545332157707,0.0,0.0,0.0,0.0,0.42094545332157707,0.9917821782178218,-2.05918288230896,0.4824120603015075,-2.4220476150512695,0.48484848484848486,0.48,0.009801980198019802
5,0.036772805575211884,0.9900990099009901,0.6104080404002331,0.0,0.0,0.0,0.0,0.6104080404002331,0.9936633663366337,-1.9620980024337769,0.6012269938650306,-1.9809048175811768,0.7777777777777778,0.49,0.006237623762376238
6,0.030683512763300204,0.9900990099009901,0.7031028477791589,0.0,0.0,0.0,0.0,0.7031028477791589,0.9941584158415842,-1.9383138418197632,0.6810810810810811,-1.9383138418197632,0.7411764705882353,0.63,0.008415841584158416
7,0.025656364547463763,0.9900990099009901,0.7413042643807097,0.0,0.0,0.0,0.0,0.7413042643807097,0.9947524752475247,-1.7077546119689941,0.7135135135135134,-1.7077546119689941,0.7764705882352941,0.66,0.008415841584158416
8,0.021674662399335527,0.9900990099009901,0.7685620366915373,0.0,0.0,0.0,0.0,0.7685620366915372,0.9953465346534653,-1.2969636917114258,0.7562189054726369,-1.6639026403427124,0.7524752475247525,0.76,0.01
9,0.018320104391763195,0.9905940594059406,0.7784016788433534,0.09523809523809523,1.0,0.05,0.0004950495049504951,0.7784016788433534,0.9955445544554455,-1.4462440013885498,0.7575757575757575,-1.6227829456329346,0.7653061224489796,0.75,0.009702970297029703
10,0.015700507260723296,0.9920792079207921,0.8017585421719383,0.33333333333333337,1.0,0.2,0.0019801980198019802,0.8017585421719383,0.9956435643564356,-0.8980975151062012,0.7475728155339806,-1.4678120613098145,0.7264150943396226,0.77,0.010495049504950496
