epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.1623121420028385,0.9851485148514851,0.011939906456747479,0.025974025974025972,0.037037037037037035,0.02,0.005346534653465347,0.011939906456747479,0.9900990099009901,0.9386606216430665,0.03508771929824562,0.571703314781189,0.14285714285714285,0.02,0.001386138613861386
2,0.06350458461584098,0.9899009900990099,0.01654696432043398,0.0,0.0,0.0,0.00019801980198019803,0.01654696432043398,0.9900990099009901,0.036426782608032234,0.04568527918781725,-2.644087076187134,0.030612244897959183,0.09,0.02910891089108911
3,0.05300254453942625,0.9900990099009901,0.14581771921537207,0.0,0.0,0.0,0.0,0.14581771921537207,0.9905940594059406,-0.6324927806854248,0.20627802690582958,-2.052546977996826,0.18699186991869918,0.23,0.012178217821782179
4,0.03948163462160906,0.9901980198019802,0.4184195824390408,0.019801980198019802,1.0,0.01,9.900990099009902e-05,0.4184195824390408,0.9918811881188119,-0.9103125333786011,0.4845360824742268,-1.6321978569030762,0.5,0.47,0.009306930693069307
5,0.027792100704136406,0.9902970297029703,0.5572175044671563,0.0392156862745098,1.0,0.02,0.00019801980198019803,0.5572175044671563,0.9926732673267327,-1.0486212968826294,0.5759162303664922,-1.6025056838989258,0.6043956043956044,0.55,0.00900990099009901
6,0.020413152830490357,0.9911881188118812,0.7547520072307872,0.19819819819819817,1.0,0.11,0.0010891089108910892,0.7547520072307872,0.9953465346534653,-1.1950782537460327,0.7403314917127072,-1.1950782537460327,0.8271604938271605,0.67,0.00801980198019802
7,0.01577141597363488,0.9918811881188119,0.7541451525905508,0.3050847457627119,1.0,0.18,0.0017821782178217822,0.7541451525905507,0.9951485148514851,-1.2172865867614746,0.7263157894736842,-1.4530346393585205,0.7666666666666667,0.69,0.00891089108910891
8,0.01239090811658555,0.9936633663366337,0.7737546151332373,0.5492957746478874,0.9285714285714286,0.39,0.004158415841584159,0.7737546151332372,0.9948514851485148,-0.8939597606658936,0.7281553398058253,-1.401395320892334,0.7075471698113207,0.75,0.010495049504950496
9,0.009863312248363815,0.9930693069306931,0.7702058767225799,0.4776119402985075,0.9411764705882353,0.32,0.0033663366336633663,0.7702058767225798,0.995049504950495,-0.8888168334960938,0.7103825136612022,-1.0925462245941162,0.7831325301204819,0.65,0.008217821782178218
10,0.007880980421407741,0.9935643564356436,0.7997720695902771,0.5390070921985816,0.926829268292683,0.38,0.0040594059405940595,0.799772069590277,0.9954455445544554,-0.6300005912780762,0.7461139896373057,-1.2377047538757324,0.7741935483870968,0.72,0.009207920792079207
