epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.18588780537339447,0.9867326732673267,0.01738810916947594,0.014705882352941176,0.027777777777777776,0.01,0.0035643564356435645,0.01738810916947594,0.9900990099009901,0.738770365715027,0.03680981595092024,-0.36407792568206787,0.047619047619047616,0.03,0.006237623762376238
2,0.06952119969514706,0.9900990099009901,0.04082426242693382,0.0,0.0,0.0,0.0,0.04082426242693382,0.9901980198019802,-0.06678032875061035,0.09045226130653267,-1.684290587902069,0.09090909090909091,0.09,0.009801980198019802
3,0.05250393770948519,0.9900990099009901,0.31943371809176885,0.0,0.0,0.0,0.0,0.3194337180917689,0.9914851485148515,-1.4983878135681152,0.379746835443038,-1.86068195104599,0.5172413793103449,0.3,0.0057425742574257425
4,0.03909394285382309,0.9900990099009901,0.6334788099346969,0.0,0.0,0.0,0.0,0.633478809934697,0.9932673267326733,-1.651327133178711,0.6054054054054056,-2.016228675842285,0.6588235294117647,0.56,0.008415841584158416
5,0.03016976624253884,0.9900990099009901,0.7175797448594965,0.0,0.0,0.0,0.0,0.7175797448594965,0.9947524752475247,-1.721954584121704,0.7010309278350516,-1.8294483423233032,0.723404255319149,0.68,0.009306930693069307
6,0.024213704291537054,0.9900990099009901,0.7983042753487156,0.0,0.0,0.0,0.0,0.7983042753487156,0.9959405940594059,-1.2659063339233398,0.7759562841530054,-1.3265348672866821,0.8554216867469879,0.71,0.008217821782178218
7,0.01983695677509456,0.9910891089108911,0.8184873613495499,0.18181818181818182,1.0,0.1,0.0009900990099009901,0.8184873613495499,0.9959405940594059,-1.027869462966919,0.7602339181286549,-1.027869462966919,0.9154929577464789,0.65,0.00702970297029703
8,0.016548739102466143,0.9931683168316832,0.8151691006838259,0.48120300751879697,0.9696969696969697,0.32,0.003267326732673267,0.815169100683826,0.9959405940594059,-0.8361499309539795,0.7783783783783784,-0.9611883163452148,0.8470588235294118,0.72,0.008415841584158416
9,0.01394280626371192,0.9941584158415842,0.8163487383983125,0.593103448275862,0.9555555555555556,0.43,0.004455445544554455,0.8163487383983123,0.996039603960396,-0.7836189270019531,0.7752808988764044,-0.7836189270019531,0.8846153846153846,0.69,0.007722772277227723
10,0.011817010700691521,0.9947524752475247,0.8388686869030011,0.6580645161290323,0.9272727272727272,0.51,0.005445544554455445,0.8388686869030011,0.9959405940594059,-0.39864659309387207,0.7807486631016043,-0.8111715316772461,0.8390804597701149,0.73,0.008613861386138615
