epoch,train_loss,val_default_accuracy,val_default_average_precision,val_default_f1,val_default_precision,val_default_recall,val_default_predicted_positive_rate,val_default_cosine_average_precision,val_best_accuracy,val_accuracy_threshold,val_best_f1,val_f1_threshold,val_f1_threshold_precision,val_f1_threshold_recall,val_f1_threshold_predicted_positive_rate
1,0.16246495696111848,0.9864356435643564,0.012247276872800951,0.014388489208633093,0.02564102564102564,0.01,0.0038613861386138613,0.01224727687280095,0.9900990099009901,1.0485062599182131,0.04020100502512563,-1.1880316734313965,0.04040404040404041,0.04,0.009801980198019802
2,0.06354246184751733,0.9897029702970297,0.017581630964908303,0.0,0.0,0.0,0.00039603960396039607,0.017581630964908303,0.9900990099009901,0.7010836601257325,0.046511627906976744,-2.3710120916366577,0.043478260869565216,0.05,0.011386138613861386
3,0.05337359600584719,0.9900990099009901,0.0949015019896176,0.0,0.0,0.0,0.0,0.09490150198961758,0.9903960396039604,-0.6986453533172607,0.19469026548672566,-2.165295124053955,0.1746031746031746,0.22,0.012475247524752476
4,0.04020737335285836,0.9900990099009901,0.42340217852212975,0.0,0.0,0.0,0.0,0.42340217852212975,0.9916831683168317,-0.7800508737564087,0.46700507614213194,-1.7469464540481567,0.4742268041237113,0.46,0.009603960396039604
5,0.028278097951576896,0.9901980198019802,0.6169676483732043,0.019801980198019802,1.0,0.01,9.900990099009902e-05,0.6169676483732043,0.9932673267326733,-1.264243483543396,0.5945945945945946,-1.4910138845443726,0.6470588235294118,0.55,0.008415841584158416
6,0.020818515594187167,0.9911881188118812,0.7229316445187882,0.19819819819819817,1.0,0.11,0.0010891089108910892,0.7229316445187882,0.9946534653465346,-1.0791354179382324,0.6785714285714286,-1.1285274028778076,0.8382352941176471,0.57,0.006732673267326733
7,0.016020324535206333,0.9914851485148515,0.7545681315944733,0.25862068965517243,0.9375,0.15,0.0015841584158415843,0.7545681315944732,0.9953465346534653,-1.1535160541534424,0.7403314917127072,-1.1535160541534424,0.8271604938271605,0.67,0.00801980198019802
8,0.01254636811735669,0.992970297029703,0.7843954550555974,0.47407407407407415,0.9142857142857143,0.32,0.0034653465346534654,0.7843954550555974,0.9951485148514851,-1.4235804080963135,0.7632850241545893,-1.4854013919830322,0.7383177570093458,0.79,0.010594059405940595
9,0.009963675446441842,0.9927722772277228,0.7786258145923919,0.4511278195488722,0.9090909090909091,0.3,0.003267326732673267,0.7786258145923919,0.995049504950495,-0.9465737342834473,0.7348837209302327,-1.74627685546875,0.6869565217391305,0.79,0.011386138613861386
10,0.008048815149286109,0.9937623762376238,0.8057577425976651,0.5655172413793103,0.9111111111111111,0.41,0.004455445544554455,0.8057577425976652,0.9958415841584158,-0.9607312679290771,0.7717391304347825,-0.9607312679290771,0.8452380952380952,0.71,0.008316831683168317
